帖子id,帖子标题,帖子点赞数,帖子评论数,comment_level,comment_id,parent_comment_id,user_id,content,comment_time,location,like_count,reply_count,char_len,post_category,robot_status,human_role,effective_token_count,robot_status_group
69e2583b00000000230211ea,"

",,2406.0,1,69e8bc65000000001401b021,,5f85eaf0000000000101e674,设计的问题，更程序员关系不大（如果程序员没参与设计的话）,2026.04.22,广东,1.0,1.0,28,失败|抢救者,失败,抢救者,8,失败
69e2583b00000000230211ea,"

",,2406.0,1,69e2fc2d000000001401b82a,,5d7ee9340000000001007f91,能不能做成四个轮子的，加一种液体就可以跑起来的那种！,2026.04.18,陕西,6166.0,158.0,26,失败|抢救者,失败,抢救者,7,失败
69e2583b00000000230211ea,"

",,2406.0,1,69e2fda9000000001401b01f,,5ff127a70000000001009c66,地上不许睡觉，赶快起来,2026.04.18,陕西,5.0,1.0,11,失败|抢救者,失败,抢救者,5,失败
69e2583b00000000230211ea,"

",,2406.0,1,69e7d221000000001401d803,,60ec557800000000010015d7,就是一个电动遥控玩具。,2026.04.22,辽宁,4.0,1.0,11,失败|抢救者,失败,抢救者,3,失败
69e2583b00000000230211ea,"

",,2406.0,1,69e309df000000001401dc36,,60b198460000000001003c2f,宇树是不是禁赛，太欺负人了,2026.04.18,广东,4.0,1.0,13,失败|抢救者,失败,抢救者,4,失败
69e2583b00000000230211ea,"

",,2406.0,1,69e7a7150000000014019809,,5f49fb02000000000100a628,只有我心疼这个机器的报废了吗，程序员不心碎了吗,2026.04.22,四川,1030.0,45.0,23,失败|抢救者,失败,抢救者,6,失败
69e2583b00000000230211ea,"

",,2406.0,1,69e787d0000000001401c427,,5c317b9f000000000701ddd7,这就是传说中的还没开始就结束了吗[doge],2026.04.21,山东,1.0,1.0,22,失败|抢救者,失败,抢救者,3,失败
69e2583b00000000230211ea,"

",,2406.0,1,69e97657000000001401a403,,641ae838000000001400f913,摔一跤就成碎片了？,2026.04.23,福建,0.0,1.0,9,失败|抢救者,失败,抢救者,2,失败
69e2583b00000000230211ea,"

",,2406.0,1,69e2f480000000001401a819,,687d0158000000000d03d43e,这AI吧，不可能啊，机器人怎么摔下也不至于摔成这样，碎哪里都是渣，我儿子的玩具从4楼掉下去都没掉渣，就是变形了,2026.04.18,山东,924.0,39.0,55,失败|抢救者,失败,抢救者,11,失败
69e2583b00000000230211ea,"

",,2406.0,1,69ef227c000000002902c4d5,,64bca9640000000014035149,还有义体医生？牛逼啊 v,2026.04.27,日本,1.0,0.0,12,失败|抢救者,失败,抢救者,2,失败
